id,name
2601,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
2666,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Finegoldia
938,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
3439,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter
623,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
3360,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Aquabacterium
1724,Bacteria;Firmicutes;Bacilli;Bacillales
3402,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Zoogloea
3581,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
3196,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea
3396,Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria
3398,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae
1682,Bacteria;Firmicutes;Bacilli;Bacillales
1706,Bacteria;Firmicutes;Bacilli;Bacillales
3356,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis
1600,Bacteria;Firmicutes;Bacilli
1300,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
3043,Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;Leptotrichia
3184,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae
3124,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
1794,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
3123,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
3093,Bacteria;Proteobacteria;Alphaproteobacteria
659,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
1788,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
1784,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
1768,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae
1760,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae
1739,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Tumebacillus
1593,Bacteria;Firmicutes;Bacilli
1584,Bacteria;Firmicutes;Bacilli
1108,Bacteria;Bacteroidetes
1016,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia
3585,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
989,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae
789,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2266,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI
737,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2949,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fastidiosipila
1898,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella
2394,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
2219,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI
1040,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Nocardioides
763,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
3507,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae
933,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
631,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
1639,Bacteria;Firmicutes;Bacilli
3119,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
1840,Bacteria;Firmicutes;Bacilli;Lactobacillales
672,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
1685,Bacteria;Firmicutes;Bacilli;Bacillales
1634,Bacteria;Firmicutes;Bacilli
1618,Bacteria;Firmicutes;Bacilli
733,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
1525,Bacteria;Firmicutes
927,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium
899,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae
767,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
3378,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas
2338,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
1952,Bacteria;Firmicutes;Clostridia
3476,Bacteria;Proteobacteria;Gammaproteobacteria
2123,Bacteria;Firmicutes;Clostridia;Clostridiales
3551,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
775,Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
2339,Bacteria;Firmicutes;Clostridia;Clostridiales;IncertaeSedisXI;Anaerococcus
